Name,Description,Web URL,Publish date,Author,Published in
Semi-supervised learning using Gaussian fields and harmonic functions,Research contribution by Zoubin Ghahramani,https://scholar.google.com/citations?user=0uTu7fYAAAAJ,N/A,Zoubin Ghahramani,University of Cambridge
Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,Research contribution by Zoubin Ghahramani,https://scholar.google.com/citations?user=0uTu7fYAAAAJ,N/A,Zoubin Ghahramani,University of Cambridge
Generative adversarial networks,Research contribution by Ian Goodfellow,https://scholar.google.com/scholar?q=Ian+Goodfellow,N/A,Ian Goodfellow,University of Cambridge
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,Research contribution by Ian Goodfellow,https://scholar.google.com/scholar?q=Ian+Goodfellow,N/A,Ian Goodfellow,University of Cambridge
Deep Learning,Research contribution by Ian Goodfellow,https://scholar.google.com/scholar?q=Ian+Goodfellow,N/A,Ian Goodfellow,University of Cambridge
Explaining and Harnessing Adversarial Examples,Research contribution by Ian Goodfellow,https://scholar.google.com/scholar?q=Ian+Goodfellow,N/A,Ian Goodfellow,University of Cambridge
Intriguing properties of neural networks,Research contribution by Ian Goodfellow,https://scholar.google.com/scholar?q=Ian+Goodfellow,N/A,Ian Goodfellow,University of Cambridge
Efficient Bipedal Robots Based on Passive-Dynamic Walkers,Research contribution by Russ Tedrake,https://scholar.google.com/citations?user=nxNkEiYAAAAJ,N/A,Russ Tedrake,Massachusetts Institute of Technology
"Optimization-based locomotion planning, estimation, and control design for the atlas humanoid robot",Research contribution by Russ Tedrake,https://scholar.google.com/citations?user=nxNkEiYAAAAJ,N/A,Russ Tedrake,Massachusetts Institute of Technology
A direct method for trajectory optimization of rigid bodies through contact,Research contribution by Russ Tedrake,https://scholar.google.com/citations?user=nxNkEiYAAAAJ,N/A,Russ Tedrake,Massachusetts Institute of Technology
LQR-trees: Feedback Motion Planning via Sums-of-Squares Verification,Research contribution by Russ Tedrake,https://scholar.google.com/citations?user=nxNkEiYAAAAJ,N/A,Russ Tedrake,Massachusetts Institute of Technology
Whole-body motion planning with centroidal dynamics and full kinematics,Research contribution by Russ Tedrake,https://scholar.google.com/citations?user=nxNkEiYAAAAJ,N/A,Russ Tedrake,Massachusetts Institute of Technology
CRITICAL QUESTIONS FOR BIG DATA,Research contribution by Kate Crawford,https://scholar.google.com/scholar?q=Kate+Crawford,N/A,Kate Crawford,Microsoft (United States)
Seeing without knowing: Limitations of the transparency ideal and its application to algorithmic accountability,Research contribution by Kate Crawford,https://scholar.google.com/scholar?q=Kate+Crawford,N/A,Kate Crawford,Microsoft (United States)
Atlas of AI,Research contribution by Kate Crawford,https://scholar.google.com/scholar?q=Kate+Crawford,N/A,Kate Crawford,Microsoft (United States)
"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence",Research contribution by Kate Crawford,https://scholar.google.com/scholar?q=Kate+Crawford,N/A,Kate Crawford,Microsoft (United States)
Following you: Disciplines of listening in social media,Research contribution by Kate Crawford,https://scholar.google.com/scholar?q=Kate+Crawford,N/A,Kate Crawford,Microsoft (United States)
Scientific discovery in the age of artificial intelligence,Research contribution by Carla Gomes,https://scholar.google.com/scholar?q=Carla+Gomes,N/A,Carla Gomes,Cornell University
The eBird enterprise: An integrated approach to development and application of citizen science,Research contribution by Carla Gomes,https://scholar.google.com/scholar?q=Carla+Gomes,N/A,Carla Gomes,Cornell University
Tackling Climate Change with Machine Learning,Research contribution by Carla Gomes,https://scholar.google.com/scholar?q=Carla+Gomes,N/A,Carla Gomes,Cornell University
Boosting combinatorial search through randomization,Research contribution by Carla Gomes,https://scholar.google.com/scholar?q=Carla+Gomes,N/A,Carla Gomes,Cornell University
Algorithm portfolios,Research contribution by Carla Gomes,https://scholar.google.com/scholar?q=Carla+Gomes,N/A,Carla Gomes,Cornell University
MizAR 60 for Mizar 50,Research contribution by Ashish Vaswani,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,N/A,Ashish Vaswani,Google (United States)
Attention Is All You Need,Research contribution by Ashish Vaswani,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,N/A,Ashish Vaswani,Google (United States)
"Relational inductive biases, deep learning, and graph networks",Research contribution by Ashish Vaswani,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,N/A,Ashish Vaswani,Google (United States)
Music Transformer: Generating Music with Long-Term Structure,Research contribution by Ashish Vaswani,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,N/A,Ashish Vaswani,Google (United States)
Self-Attention with Relative Position Representations,Research contribution by Ashish Vaswani,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,N/A,Ashish Vaswani,Google (United States)
The Limitations of Deep Learning in Adversarial Settings,Research contribution by Nicolas Papernot,https://scholar.google.com/citations?user=cGxq0cMAAAAJ,N/A,Nicolas Papernot,University of Toronto
Practical Black-Box Attacks against Machine Learning,Research contribution by Nicolas Papernot,https://scholar.google.com/citations?user=cGxq0cMAAAAJ,N/A,Nicolas Papernot,University of Toronto
Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,Research contribution by Nicolas Papernot,https://scholar.google.com/citations?user=cGxq0cMAAAAJ,N/A,Nicolas Papernot,University of Toronto
Ensemble Adversarial Training: Attacks and Defenses,Research contribution by Nicolas Papernot,https://scholar.google.com/citations?user=cGxq0cMAAAAJ,N/A,Nicolas Papernot,University of Toronto
MixMatch: A Holistic Approach to Semi-Supervised Learning,Research contribution by Nicolas Papernot,https://scholar.google.com/citations?user=cGxq0cMAAAAJ,N/A,Nicolas Papernot,University of Toronto
A tutorial on support vector regression,Research contribution by Alex Smola,https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ,N/A,Alex Smola,Amazon Web Services
Estimating the Support of a High-Dimensional Distribution,Research contribution by Alex Smola,https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ,N/A,Alex Smola,Amazon Web Services
Hierarchical Attention Networks for Document Classification,Research contribution by Alex Smola,https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ,N/A,Alex Smola,Amazon Web Services
Support Vector Regression Machines,Research contribution by Alex Smola,https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ,N/A,Alex Smola,Amazon Web Services
New Support Vector Algorithms,Research contribution by Alex Smola,https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ,N/A,Alex Smola,Amazon Web Services
A view of cloud computing,Research contribution by David Patterson,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,N/A,David Patterson,Google (United States)
Above the Clouds: A Berkeley View of Cloud Computing,Research contribution by David Patterson,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,N/A,David Patterson,Google (United States)
A case for redundant arrays of inexpensive disks (RAID),Research contribution by David Patterson,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,N/A,David Patterson,Google (United States)
Computer Organization and Design: the Hardware/Software Interface,Research contribution by David Patterson,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,N/A,David Patterson,Google (United States)
LogP: towards a realistic model of parallel computation,Research contribution by David Patterson,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,N/A,David Patterson,Google (United States)
Orange: data mining toolbox in python,Research contribution by Marinka Žitnik,https://scholar.google.com/scholar?q=Marinka+%C5%BDitnik,N/A,Marinka Žitnik,Purdue University West Lafayette
Scientific discovery in the age of artificial intelligence,Research contribution by Marinka Žitnik,https://scholar.google.com/scholar?q=Marinka+%C5%BDitnik,N/A,Marinka Žitnik,Purdue University West Lafayette
Modeling polypharmacy side effects with graph convolutional networks,Research contribution by Marinka Žitnik,https://scholar.google.com/scholar?q=Marinka+%C5%BDitnik,N/A,Marinka Žitnik,Purdue University West Lafayette
GNNExplainer: Generating Explanations for Graph Neural Networks,Research contribution by Marinka Žitnik,https://scholar.google.com/scholar?q=Marinka+%C5%BDitnik,N/A,Marinka Žitnik,Purdue University West Lafayette
"Machine learning for integrating data in biology and medicine: Principles, practice, and opportunities",Research contribution by Marinka Žitnik,https://scholar.google.com/scholar?q=Marinka+%C5%BDitnik,N/A,Marinka Žitnik,Purdue University West Lafayette
Mastering the game of Go with deep neural networks and tree search,Research contribution by Timothy Lillicrap,https://scholar.google.com/citations?user=htPVdRMAAAAJ,N/A,Timothy Lillicrap,Google (United States)
Mastering the game of Go without human knowledge,Research contribution by Timothy Lillicrap,https://scholar.google.com/citations?user=htPVdRMAAAAJ,N/A,Timothy Lillicrap,Google (United States)
Continuous control with deep reinforcement learning,Research contribution by Timothy Lillicrap,https://scholar.google.com/citations?user=htPVdRMAAAAJ,N/A,Timothy Lillicrap,Google (United States)
"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",Research contribution by Timothy Lillicrap,https://scholar.google.com/citations?user=htPVdRMAAAAJ,N/A,Timothy Lillicrap,Google (United States)
Hybrid Position/Force Control of Manipulators,Research contribution by Marc Raibert,https://scholar.google.com/scholar?q=Marc+Raibert,N/A,Marc Raibert,Boston Dynamics (United States)
Legged Robots That Balance,Research contribution by Marc Raibert,https://scholar.google.com/scholar?q=Marc+Raibert,N/A,Marc Raibert,Boston Dynamics (United States)
"BigDog, the Rough-Terrain Quadruped Robot",Research contribution by Marc Raibert,https://scholar.google.com/scholar?q=Marc+Raibert,N/A,Marc Raibert,Boston Dynamics (United States)
Experiments in Balance with a 3D One-Legged Hopping Machine,Research contribution by Marc Raibert,https://scholar.google.com/scholar?q=Marc+Raibert,N/A,Marc Raibert,Boston Dynamics (United States)
Animation of dynamic legged locomotion,Research contribution by Marc Raibert,https://scholar.google.com/scholar?q=Marc+Raibert,N/A,Marc Raibert,Boston Dynamics (United States)
AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,Research contribution by Jacob Devlin,https://scholar.google.com/scholar?q=Jacob+Devlin,N/A,Jacob Devlin,Google
PaLM: Scaling Language Modeling with Pathways,Research contribution by Jacob Devlin,https://scholar.google.com/scholar?q=Jacob+Devlin,N/A,Jacob Devlin,Google
Natural Questions: A Benchmark for Question Answering Research,Research contribution by Jacob Devlin,https://scholar.google.com/scholar?q=Jacob+Devlin,N/A,Jacob Devlin,Google
Scaling Instruction-Finetuned Language Models,Research contribution by Jacob Devlin,https://scholar.google.com/scholar?q=Jacob+Devlin,N/A,Jacob Devlin,Google
Minimum snap trajectory generation and control for quadrotors,Research contribution by Vijay Kumar,https://scholar.google.com/scholar?q=Vijay+Kumar,N/A,Vijay Kumar,Jamia Hamdard
Modeling and control of formations of nonholonomic mobile robots,Research contribution by Vijay Kumar,https://scholar.google.com/scholar?q=Vijay+Kumar,N/A,Vijay Kumar,Jamia Hamdard
A vision-based formation control framework,Research contribution by Vijay Kumar,https://scholar.google.com/scholar?q=Vijay+Kumar,N/A,Vijay Kumar,Jamia Hamdard
Trajectory generation and control for precise aggressive maneuvers with quadrotors,Research contribution by Vijay Kumar,https://scholar.google.com/scholar?q=Vijay+Kumar,N/A,Vijay Kumar,Jamia Hamdard
Leader-to-Formation Stability,Research contribution by Vijay Kumar,https://scholar.google.com/scholar?q=Vijay+Kumar,N/A,Vijay Kumar,Jamia Hamdard
On the Opportunities and Risks of Foundation Models,Research contribution by Emma Brunskill,https://scholar.google.com/citations?user=HaN8b2YAAAAJ,N/A,Emma Brunskill,Stanford University
Global and regional hearing impairment prevalence: an analysis of 42 studies in 29 countries,Research contribution by Emma Brunskill,https://scholar.google.com/citations?user=HaN8b2YAAAAJ,N/A,Emma Brunskill,Stanford University
Towards the Systematic Reporting of the Energy and Carbon Footprints of\n Machine Learning,Research contribution by Emma Brunskill,https://scholar.google.com/citations?user=HaN8b2YAAAAJ,N/A,Emma Brunskill,Stanford University
Designing mobile interfaces for novice and low-literacy users,Research contribution by Emma Brunskill,https://scholar.google.com/citations?user=HaN8b2YAAAAJ,N/A,Emma Brunskill,Stanford University
Scaling up behavioral science interventions in online education,Research contribution by Emma Brunskill,https://scholar.google.com/citations?user=HaN8b2YAAAAJ,N/A,Emma Brunskill,Stanford University
Inferring causation from time series in Earth system sciences,Research contribution by Jonas Peters,https://scholar.google.com/citations?user=kBQ4VvEAAAAJ,N/A,Jonas Peters,ETH Zurich
Elements of Causal Inference: Foundations and Learning Algorithms,Research contribution by Jonas Peters,https://scholar.google.com/citations?user=kBQ4VvEAAAAJ,N/A,Jonas Peters,ETH Zurich
Nonlinear causal discovery with additive noise models,Research contribution by Jonas Peters,https://scholar.google.com/citations?user=kBQ4VvEAAAAJ,N/A,Jonas Peters,ETH Zurich
"Comments on the paper Causal inference by using invariant prediction: identification and confidence intervals by Peters, Buhlmann and Meinshausen",Research contribution by Jonas Peters,https://scholar.google.com/citations?user=kBQ4VvEAAAAJ,N/A,Jonas Peters,ETH Zurich
Counterfactual reasoning and learning systems: the example of computational advertising,Research contribution by Jonas Peters,https://scholar.google.com/citations?user=kBQ4VvEAAAAJ,N/A,Jonas Peters,ETH Zurich
Agnostic Learning with Unknown Utilities,Research contribution by Jacob Steinhardt,https://scholar.google.com/citations?user=LKv32bgAAAAJ,N/A,Jacob Steinhardt,"University of California, Berkeley"
The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,Research contribution by Jacob Steinhardt,https://scholar.google.com/citations?user=LKv32bgAAAAJ,N/A,Jacob Steinhardt,"University of California, Berkeley"
Natural Adversarial Examples,Research contribution by Jacob Steinhardt,https://scholar.google.com/citations?user=LKv32bgAAAAJ,N/A,Jacob Steinhardt,"University of California, Berkeley"
"The malicious use of artificial intelligence: Forecasting, prevention, and mitigation",Research contribution by Jacob Steinhardt,https://scholar.google.com/citations?user=LKv32bgAAAAJ,N/A,Jacob Steinhardt,"University of California, Berkeley"
MizAR 60 for Mizar 50,Research contribution by Aidan Gomez,https://scholar.google.com/citations?user=2oq9614AAAAJ,N/A,Aidan Gomez,Google (United States)
Attention Is All You Need,Research contribution by Aidan Gomez,https://scholar.google.com/citations?user=2oq9614AAAAJ,N/A,Aidan Gomez,Google (United States)
Disease variant prediction with deep generative models of evolutionary data,Research contribution by Aidan Gomez,https://scholar.google.com/citations?user=2oq9614AAAAJ,N/A,Aidan Gomez,Google (United States)
One Model To Learn Them All,Research contribution by Aidan Gomez,https://scholar.google.com/citations?user=2oq9614AAAAJ,N/A,Aidan Gomez,Google (United States)
Depthwise Separable Convolutions for Neural Machine Translation,Research contribution by Aidan Gomez,https://scholar.google.com/citations?user=2oq9614AAAAJ,N/A,Aidan Gomez,Google (United States)
International evaluation of an AI system for breast cancer screening,Research contribution by Mustafa Suleyman,https://scholar.google.com/citations?user=hkDGEVQAAAAJ,N/A,Mustafa Suleyman,Inflection AI
The Kinetics Human Action Video Dataset,Research contribution by Mustafa Suleyman,https://scholar.google.com/citations?user=hkDGEVQAAAAJ,N/A,Mustafa Suleyman,Inflection AI
Clinically applicable deep learning for diagnosis and referral in retinal disease,Research contribution by Mustafa Suleyman,https://scholar.google.com/citations?user=hkDGEVQAAAAJ,N/A,Mustafa Suleyman,Inflection AI
Key challenges for delivering clinical impact with artificial intelligence,Research contribution by Mustafa Suleyman,https://scholar.google.com/citations?user=hkDGEVQAAAAJ,N/A,Mustafa Suleyman,Inflection AI
Teaching Machines to Read and Comprehend,Research contribution by Mustafa Suleyman,https://scholar.google.com/citations?user=hkDGEVQAAAAJ,N/A,Mustafa Suleyman,Inflection AI
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,Research contribution by Chris Olah,https://scholar.google.com/citations?user=6dskOSUAAAAJ,N/A,Chris Olah,Google
Deconvolution and Checkerboard Artifacts,Research contribution by Chris Olah,https://scholar.google.com/citations?user=6dskOSUAAAAJ,N/A,Chris Olah,Google
Agnostic Learning with Unknown Utilities,Research contribution by Chris Olah,https://scholar.google.com/citations?user=6dskOSUAAAAJ,N/A,Chris Olah,Google
Feature Visualization,Research contribution by Chris Olah,https://scholar.google.com/citations?user=6dskOSUAAAAJ,N/A,Chris Olah,Google
The Building Blocks of Interpretability,Research contribution by Chris Olah,https://scholar.google.com/citations?user=6dskOSUAAAAJ,N/A,Chris Olah,Google
Epidemic routing for partially-connected ad hoc networks,Research contribution by Amin Vahdat,https://scholar.google.com/citations?user=r3aWCRUAAAAJ,N/A,Amin Vahdat,Google (United States)
"A scalable, commodity data center network architecture",Research contribution by Amin Vahdat,https://scholar.google.com/citations?user=r3aWCRUAAAAJ,N/A,Amin Vahdat,Google (United States)
TAG,Research contribution by Samuel Madden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,N/A,Samuel Madden,Massachusetts Institute of Technology
TinyDB: an acquisitional query processing system for sensor networks,Research contribution by Samuel Madden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,N/A,Samuel Madden,Massachusetts Institute of Technology
TinyOS: An Operating System for Sensor Networks,Research contribution by Samuel Madden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,N/A,Samuel Madden,Massachusetts Institute of Technology
The pothole patrol,Research contribution by Samuel Madden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,N/A,Samuel Madden,Massachusetts Institute of Technology
A comparison of approaches to large-scale data analysis,Research contribution by Samuel Madden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,N/A,Samuel Madden,Massachusetts Institute of Technology
CHOMP: Covariant Hamiltonian optimization for motion planning,Research contribution by Anca Dragan,https://scholar.google.com/citations?user=UgHB5oAAAAAJ,N/A,Anca Dragan,Berkeley College
Legibility and predictability of robot motion,Research contribution by Anca Dragan,https://scholar.google.com/citations?user=UgHB5oAAAAAJ,N/A,Anca Dragan,Berkeley College
Planning for Autonomous Cars that Leverage Effects on Human Actions,Research contribution by Anca Dragan,https://scholar.google.com/citations?user=UgHB5oAAAAAJ,N/A,Anca Dragan,Berkeley College
A policy-blending formalism for shared control,Research contribution by Anca Dragan,https://scholar.google.com/citations?user=UgHB5oAAAAAJ,N/A,Anca Dragan,Berkeley College
Domain-Adversarial Training of Neural Networks,Research contribution by Hugo Larochelle,https://scholar.google.com/citations?user=U89FHq4AAAAJ,N/A,Hugo Larochelle,Google Brain
Extracting and composing robust features with denoising autoencoders,Research contribution by Hugo Larochelle,https://scholar.google.com/citations?user=U89FHq4AAAAJ,N/A,Hugo Larochelle,Google Brain
Practical Bayesian Optimization of Machine Learning Algorithms,Research contribution by Hugo Larochelle,https://scholar.google.com/citations?user=U89FHq4AAAAJ,N/A,Hugo Larochelle,Google Brain
Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network with a Local Denoising Criterion,Research contribution by Hugo Larochelle,https://scholar.google.com/citations?user=U89FHq4AAAAJ,N/A,Hugo Larochelle,Google Brain
Greedy Layer-Wise Training of Deep Networks,Research contribution by Hugo Larochelle,https://scholar.google.com/citations?user=U89FHq4AAAAJ,N/A,Hugo Larochelle,Google Brain
Show and tell: A neural image caption generator,Research contribution by Samy Bengio,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,N/A,Samy Bengio,Apple (Israel)
Understanding deep learning (still) requires rethinking generalization,Research contribution by Samy Bengio,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,N/A,Samy Bengio,Apple (Israel)
DeViSE: A Deep Visual-Semantic Embedding Model,Research contribution by Samy Bengio,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,N/A,Samy Bengio,Apple (Israel)
Adversarial Examples in the Physical World,Research contribution by Samy Bengio,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,N/A,Samy Bengio,Apple (Israel)
Tacotron: Towards End-to-End Speech Synthesis,Research contribution by Samy Bengio,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,N/A,Samy Bengio,Apple (Israel)
"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case",Research contribution by Luke Zettlemoyer,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,N/A,Luke Zettlemoyer,University of Washington
Deep Contextualized Word Representations,Research contribution by Luke Zettlemoyer,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,N/A,Luke Zettlemoyer,University of Washington
"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",Research contribution by Luke Zettlemoyer,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,N/A,Luke Zettlemoyer,University of Washington
Multilingual Denoising Pre-training for Neural Machine Translation,Research contribution by Luke Zettlemoyer,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,N/A,Luke Zettlemoyer,University of Washington
Knowledge-Based Weak Supervision for Information Extraction of Overlapping Relations,Research contribution by Luke Zettlemoyer,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,N/A,Luke Zettlemoyer,University of Washington
A view of cloud computing,Research contribution by Matei Zaharia,https://scholar.google.com/citations?user=I1EvjZsAAAAJ,N/A,Matei Zaharia,Berkeley College
Above the Clouds: A Berkeley View of Cloud Computing,Research contribution by Matei Zaharia,https://scholar.google.com/citations?user=I1EvjZsAAAAJ,N/A,Matei Zaharia,Berkeley College
Spark: cluster computing with working sets,Research contribution by Matei Zaharia,https://scholar.google.com/citations?user=I1EvjZsAAAAJ,N/A,Matei Zaharia,Berkeley College
Resilient distributed datasets: a fault-tolerant abstraction for in-memory cluster computing,Research contribution by Matei Zaharia,https://scholar.google.com/citations?user=I1EvjZsAAAAJ,N/A,Matei Zaharia,Berkeley College
Apache Spark,Research contribution by Matei Zaharia,https://scholar.google.com/citations?user=I1EvjZsAAAAJ,N/A,Matei Zaharia,Berkeley College
On the Dangers of Stochastic Parrots,Research contribution by Emily M Bender,https://scholar.google.com/scholar?q=Emily+M+Bender,N/A,Emily M Bender,University of Washington
Introduction/motivation,Research contribution by Emily M Bender,https://scholar.google.com/scholar?q=Emily+M+Bender,N/A,Emily M Bender,University of Washington
"Climbing towards NLU: On Meaning, Form, and Understanding in the Age of Data",Research contribution by Emily M Bender,https://scholar.google.com/scholar?q=Emily+M+Bender,N/A,Emily M Bender,University of Washington
Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,Research contribution by Emily M Bender,https://scholar.google.com/scholar?q=Emily+M+Bender,N/A,Emily M Bender,University of Washington
Data and its (dis)contents: A survey of dataset development and use in\n machine learning research,Research contribution by Emily M Bender,https://scholar.google.com/scholar?q=Emily+M+Bender,N/A,Emily M Bender,University of Washington
Learning to Reason: End-to-End Module Networks for Visual Question Answering,Research contribution by Jacob Andreas,https://scholar.google.com/citations?user=dnZ8udEAAAAJ,N/A,Jacob Andreas,Massachusetts Institute of Technology
Learning to Compose Neural Networks for Question Answering,Research contribution by Jacob Andreas,https://scholar.google.com/citations?user=dnZ8udEAAAAJ,N/A,Jacob Andreas,Massachusetts Institute of Technology
Modeling Relationships in Referential Expressions with Compositional Modular Networks,Research contribution by Jacob Andreas,https://scholar.google.com/citations?user=dnZ8udEAAAAJ,N/A,Jacob Andreas,Massachusetts Institute of Technology
Speaker-Follower Models for Vision-and-Language Navigation,Research contribution by Jacob Andreas,https://scholar.google.com/citations?user=dnZ8udEAAAAJ,N/A,Jacob Andreas,Massachusetts Institute of Technology
Modular Multitask Reinforcement Learning with Policy Sketches,Research contribution by Jacob Andreas,https://scholar.google.com/citations?user=dnZ8udEAAAAJ,N/A,Jacob Andreas,Massachusetts Institute of Technology
XORs in the Air: Practical Wireless Network Coding,Research contribution by Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ,N/A,Dina Katabi,Massachusetts Institute of Technology
Embracing wireless interference,Research contribution by Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ,N/A,Dina Katabi,Massachusetts Institute of Technology
Trading structure for randomness in wireless opportunistic routing,Research contribution by Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ,N/A,Dina Katabi,Massachusetts Institute of Technology
Congestion control for high bandwidth-delay product networks,Research contribution by Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ,N/A,Dina Katabi,Massachusetts Institute of Technology
Smart Homes that Monitor Breathing and Heart Rate,Research contribution by Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ,N/A,Dina Katabi,Massachusetts Institute of Technology
Rethinking the Inception Architecture for Computer Vision,Research contribution by Sergey Ioffe,https://scholar.google.com/scholar?q=Sergey+Ioffe,N/A,Sergey Ioffe,Google (United States)
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,Research contribution by Sergey Ioffe,https://scholar.google.com/scholar?q=Sergey+Ioffe,N/A,Sergey Ioffe,Google (United States)
"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",Research contribution by Sergey Ioffe,https://scholar.google.com/scholar?q=Sergey+Ioffe,N/A,Sergey Ioffe,Google (United States)
No Fuss Distance Metric Learning Using Proxies,Research contribution by Sergey Ioffe,https://scholar.google.com/scholar?q=Sergey+Ioffe,N/A,Sergey Ioffe,Google (United States)
A Deep Learning Approach to Antibiotic Discovery,Research contribution by Regina Barzilay,https://scholar.google.com/scholar?q=Regina+Barzilay,N/A,Regina Barzilay,Jambi University
Analyzing Learned Molecular Representations for Property Prediction,Research contribution by Regina Barzilay,https://scholar.google.com/scholar?q=Regina+Barzilay,N/A,Regina Barzilay,Jambi University
De novo design of protein structure and function with RFdiffusion,Research contribution by Regina Barzilay,https://scholar.google.com/scholar?q=Regina+Barzilay,N/A,Regina Barzilay,Jambi University
Using lexical chains for text summarization,Research contribution by Regina Barzilay,https://scholar.google.com/scholar?q=Regina+Barzilay,N/A,Regina Barzilay,Jambi University
Prediction of Organic Reaction Outcomes Using Machine Learning,Research contribution by Regina Barzilay,https://scholar.google.com/scholar?q=Regina+Barzilay,N/A,Regina Barzilay,Jambi University
An analysis of single-layer networks in unsupervised feature learning,Research contribution by Honglak Lee,https://scholar.google.com/citations?user=fmSHtE8AAAAJ,N/A,Honglak Lee,Seoul National University
Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,Research contribution by Honglak Lee,https://scholar.google.com/citations?user=fmSHtE8AAAAJ,N/A,Honglak Lee,Seoul National University
Efficient sparse coding algorithms,Research contribution by Honglak Lee,https://scholar.google.com/citations?user=fmSHtE8AAAAJ,N/A,Honglak Lee,Seoul National University
Multimodal Deep Learning,Research contribution by Honglak Lee,https://scholar.google.com/citations?user=fmSHtE8AAAAJ,N/A,Honglak Lee,Seoul National University
Learning structured output representation using deep conditional generative models,Research contribution by Honglak Lee,https://scholar.google.com/citations?user=fmSHtE8AAAAJ,N/A,Honglak Lee,Seoul National University
Artificial intelligence: a modern approach,Research contribution by Stuart Russell,https://scholar.google.com/scholar?q=Stuart+Russell,N/A,Stuart Russell,Berkeley College
Distance Metric Learning with Application to Clustering with Side-Information,Research contribution by Stuart Russell,https://scholar.google.com/scholar?q=Stuart+Russell,N/A,Stuart Russell,Berkeley College
"Dynamic bayesian networks: representation, inference and learning",Research contribution by Stuart Russell,https://scholar.google.com/scholar?q=Stuart+Russell,N/A,Stuart Russell,Berkeley College
Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,Research contribution by Stuart Russell,https://scholar.google.com/scholar?q=Stuart+Russell,N/A,Stuart Russell,Berkeley College
Embedding Entities and Relations for Learning and Inference in Knowledge Bases,Research contribution by Jianfeng Gao,https://scholar.google.com/scholar?q=Jianfeng+Gao,N/A,Jianfeng Gao,Microsoft (United States)
A Diversity-Promoting Objective Function for Neural Conversation Models,Research contribution by Jianfeng Gao,https://scholar.google.com/scholar?q=Jianfeng+Gao,N/A,Jianfeng Gao,Microsoft (United States)
Domain-Specific Language Model Pretraining for Biomedical Natural Language Processing,Research contribution by Jianfeng Gao,https://scholar.google.com/scholar?q=Jianfeng+Gao,N/A,Jianfeng Gao,Microsoft (United States)
Deep Learning--based Text Classification,Research contribution by Jianfeng Gao,https://scholar.google.com/scholar?q=Jianfeng+Gao,N/A,Jianfeng Gao,Microsoft (United States)
